disease,ingredient,nutrients,is_risky,risk_score,severity
diabetes,coconut sugar,"{'sugars_100g': 69.39459542123797, 'carbohydrates_100g': 78.62078339620746, 'salt_100g': 0.5218887862362978, 'fat_100g': 1.9585935711805842, 'saturated_fat_100g': 0.4734082671986831, 'fiber_100g': 1.557431805397895, 'proteins_100g': 1.2072760551804798, 'energy_kcal_100g': 474.56637695582754}",1,80,high
diabetes,fruit juice concentrate,"{'sugars_100g': 3.8667054318899297, 'carbohydrates_100g': 57.471534455602935, 'salt_100g': 1.6941361378346131, 'fat_100g': 9.421488680017607, 'saturated_fat_100g': 0.4138975015727864, 'fiber_100g': 9.835930659801132, 'proteins_100g': 9.673461325716215, 'energy_kcal_100g': 261.70542204383486}",1,80,high
diabetes,rice syrup,"{'sugars_100g': 61.38315930436532, 'carbohydrates_100g': 89.01291841711718, 'salt_100g': 0.6144644306469166, 'fat_100g': 2.463455210891317, 'saturated_fat_100g': 1.7479159944860538, 'fiber_100g': 0.9649072509145973, 'proteins_100g': 1.1666401348094972, 'energy_kcal_100g': 437.53328190977993}",1,80,high
diabetes,barley malt syrup,"{'sugars_100g': 53.85009620410497, 'carbohydrates_100g': 87.98270514570606, 'salt_100g': 0.7196933422938124, 'fat_100g': 3.571807502815412, 'saturated_fat_100g': 1.7968065118353271, 'fiber_100g': 1.5588314117066622, 'proteins_100g': 0.17730487288621388, 'energy_kcal_100g': 382.14713961959535}",1,80,high
diabetes,caramel,"{'sugars_100g': 5.586692139630573, 'carbohydrates_100g': 30.73005839583945, 'salt_100g': 0.717851451365183, 'fat_100g': 26.4800051012576, 'saturated_fat_100g': 6.624735664320262, 'fiber_100g': 9.75238693650404, 'proteins_100g': 13.805363266925449, 'energy_kcal_100g': 131.83713148782783}",1,80,high
diabetes,lactose (milk sugar),"{'sugars_100g': 93.90385459911647, 'carbohydrates_100g': 65.53132390799772, 'salt_100g': 0.8172687942674903, 'fat_100g': 4.639285583397222, 'saturated_fat_100g': 1.02753733208174, 'fiber_100g': 0.6679124523747844, 'proteins_100g': 0.0533537107780675, 'energy_kcal_100g': 405.03234435472376}",1,80,high
diabetes,golden syrup,"{'sugars_100g': 52.509424516999665, 'carbohydrates_100g': 90.69162418262434, 'salt_100g': 0.23140443015593326, 'fat_100g': 0.7644543305289059, 'saturated_fat_100g': 2.6147455913160504, 'fiber_100g': 1.040384606608551, 'proteins_100g': 1.5334891575996632, 'energy_kcal_100g': 315.17115399006394}",1,80,high
diabetes,malt syrup,"{'sugars_100g': 88.49006623361367, 'carbohydrates_100g': 89.97959685645517, 'salt_100g': 0.38771508583420644, 'fat_100g': 3.9618518559559526, 'saturated_fat_100g': 2.15338336419427, 'fiber_100g': 1.9958084752079166, 'proteins_100g': 1.422148202396018, 'energy_kcal_100g': 324.2040408783328}",1,80,high
diabetes,evaporated cane juice,"{'sugars_100g': 2.3596784159237605, 'carbohydrates_100g': 41.55577507807016, 'salt_100g': 1.6427508464451812, 'fat_100g': 26.88803280688258, 'saturated_fat_100g': 7.461807779067246, 'fiber_100g': 4.340120371087973, 'proteins_100g': 17.181350339032996, 'energy_kcal_100g': 384.58404433202884}",1,80,high
diabetes,confectioner's sugar,"{'sugars_100g': 65.28631760005821, 'carbohydrates_100g': 79.99740775404253, 'salt_100g': 0.19200016191479918, 'fat_100g': 1.710076546557187, 'saturated_fat_100g': 2.942199095637048, 'fiber_100g': 0.2362345616440502, 'proteins_100g': 1.041762119750675, 'energy_kcal_100g': 433.48788454021235}",1,80,high
diabetes,turbinado sugar,"{'sugars_100g': 91.2081344334188, 'carbohydrates_100g': 69.32102259722919, 'salt_100g': 0.2692435415115263, 'fat_100g': 4.522221360268005, 'saturated_fat_100g': 0.673265846576262, 'fiber_100g': 1.7442953812364261, 'proteins_100g': 1.1815162750503936, 'energy_kcal_100g': 453.3353382758473}",1,80,high
diabetes,demerara sugar,"{'sugars_100g': 93.22438031721242, 'carbohydrates_100g': 94.94056653274885, 'salt_100g': 0.038265892984427397, 'fat_100g': 3.9963067538456065, 'saturated_fat_100g': 2.706047547161475, 'fiber_100g': 0.7557851323723916, 'proteins_100g': 1.7218321733559057, 'energy_kcal_100g': 389.0670656950617}",1,80,high
diabetes,muscovado sugar,"{'sugars_100g': 53.15213552701235, 'carbohydrates_100g': 93.56909539023067, 'salt_100g': 0.6000672489163993, 'fat_100g': 1.1648438063357347, 'saturated_fat_100g': 0.5039747210817468, 'fiber_100g': 1.6911024672793677, 'proteins_100g': 1.8304406362297825, 'energy_kcal_100g': 465.0787893144295}",1,80,high
diabetes,refined flour,"{'sugars_100g': 15.925049012749499, 'carbohydrates_100g': 45.60839676470225, 'salt_100g': 0.6523513348807575, 'fat_100g': 1.5011099963479513, 'saturated_fat_100g': 6.422752208586738, 'fiber_100g': 8.629622976544361, 'proteins_100g': 13.351617494809764, 'energy_kcal_100g': 71.29400561840438}",1,60,medium
diabetes,white rice,"{'sugars_100g': 9.715522674032801, 'carbohydrates_100g': 44.84933951590337, 'salt_100g': 0.4256133703716578, 'fat_100g': 24.28019828902967, 'saturated_fat_100g': 5.473173621841551, 'fiber_100g': 9.118536258102306, 'proteins_100g': 0.1796180800526559, 'energy_kcal_100g': 293.7093597963218}",1,60,medium
diabetes,potato starch,"{'sugars_100g': 1.2811124941536178, 'carbohydrates_100g': 33.9432632965939, 'salt_100g': 0.8314257889176078, 'fat_100g': 9.872510245480338, 'saturated_fat_100g': 3.411101732163071, 'fiber_100g': 2.7957060058025296, 'proteins_100g': 17.6483181232135, 'energy_kcal_100g': 374.5152701513419}",1,60,medium
diabetes,tapioca,"{'sugars_100g': 15.474545413468398, 'carbohydrates_100g': 55.27950854486269, 'salt_100g': 1.6886185792449293, 'fat_100g': 9.38784688008253, 'saturated_fat_100g': 7.005672354761173, 'fiber_100g': 2.9205532744525255, 'proteins_100g': 5.0328342541169135, 'energy_kcal_100g': 166.37590549975607}",1,60,medium
diabetes,corn flour,"{'sugars_100g': 2.736630627663741, 'carbohydrates_100g': 37.849389197847856, 'salt_100g': 0.641451522925115, 'fat_100g': 19.91397886572518, 'saturated_fat_100g': 3.1199767055688996, 'fiber_100g': 1.4305576354373706, 'proteins_100g': 13.28033662971102, 'energy_kcal_100g': 297.8207617543444}",1,60,medium
diabetes,white bread flour,"{'sugars_100g': 1.4458071342541978, 'carbohydrates_100g': 32.35600045464477, 'salt_100g': 0.029940727941439427, 'fat_100g': 27.26796734333933, 'saturated_fat_100g': 5.4915336161145465, 'fiber_100g': 0.05939664525309363, 'proteins_100g': 22.746552431620497, 'energy_kcal_100g': 180.320273690243}",1,60,medium
diabetes,instant mashed potato flakes,"{'sugars_100g': 18.40149116985865, 'carbohydrates_100g': 12.903056782519803, 'salt_100g': 0.6451951367333912, 'fat_100g': 15.700288751916244, 'saturated_fat_100g': 5.27377615664197, 'fiber_100g': 0.08171718146104512, 'proteins_100g': 12.445616536059271, 'energy_kcal_100g': 225.22825687832622}",1,60,medium
diabetes,puffed rice,"{'sugars_100g': 6.977704428560334, 'carbohydrates_100g': 47.357012786760954, 'salt_100g': 0.0728979318637255, 'fat_100g': 1.1739390819741768, 'saturated_fat_100g': 7.079632458383816, 'fiber_100g': 2.8702106599735244, 'proteins_100g': 5.8112783290398085, 'energy_kcal_100g': 188.45445990511251}",1,60,medium
diabetes,crisped rice,"{'sugars_100g': 19.759319246104408, 'carbohydrates_100g': 28.77185176207805, 'salt_100g': 0.2521176139305925, 'fat_100g': 6.826883058782092, 'saturated_fat_100g': 2.063287951260442, 'fiber_100g': 4.543328572569595, 'proteins_100g': 13.220361539234549, 'energy_kcal_100g': 101.8917299205013}",1,60,medium
diabetes,instant oatmeal,"{'sugars_100g': 0.511834583367865, 'carbohydrates_100g': 43.18528505057587, 'salt_100g': 1.871889781163655, 'fat_100g': 4.7464789713447235, 'saturated_fat_100g': 5.18941314160049, 'fiber_100g': 4.596675816162069, 'proteins_100g': 4.897706027038123, 'energy_kcal_100g': 201.04523730680293}",1,60,medium
diabetes,cornmeal,"{'sugars_100g': 8.24510447215234, 'carbohydrates_100g': 45.863621604295076, 'salt_100g': 0.0954169574612378, 'fat_100g': 29.547959323797546, 'saturated_fat_100g': 9.188854505803759, 'fiber_100g': 4.588215462387147, 'proteins_100g': 11.963361896758546, 'energy_kcal_100g': 394.1346016934352}",1,60,medium
diabetes,white pasta,"{'sugars_100g': 0.14826813988154885, 'carbohydrates_100g': 27.501051309344817, 'salt_100g': 1.7147136324929346, 'fat_100g': 16.611823451455006, 'saturated_fat_100g': 9.119024810563323, 'fiber_100g': 1.1637283406796395, 'proteins_100g': 16.784666967470017, 'energy_kcal_100g': 90.16388366484608}",1,60,medium
diabetes,semolina,"{'sugars_100g': 8.578615453798104, 'carbohydrates_100g': 58.18969780040604, 'salt_100g': 0.529590707089098, 'fat_100g': 3.7853808545567347, 'saturated_fat_100g': 4.4313270493942225, 'fiber_100g': 9.397828898418945, 'proteins_100g': 6.025143662230401, 'energy_kcal_100g': 389.8636144175728}",1,60,medium
diabetes,couscous (refined),"{'sugars_100g': 3.412246300343369, 'carbohydrates_100g': 18.78758669484217, 'salt_100g': 0.9367769507253914, 'fat_100g': 12.95018618715536, 'saturated_fat_100g': 6.962977776249563, 'fiber_100g': 1.383943027617185, 'proteins_100g': 29.41606169431396, 'energy_kcal_100g': 213.89148471852243}",1,60,medium
diabetes,pretzels,"{'sugars_100g': 13.410833759868552, 'carbohydrates_100g': 55.93648676891591, 'salt_100g': 0.5484750617917697, 'fat_100g': 10.958353777793672, 'saturated_fat_100g': 8.456240832040866, 'fiber_100g': 1.6118064347740158, 'proteins_100g': 23.700927570739072, 'energy_kcal_100g': 246.91991838160004}",1,60,medium
diabetes,rice cakes,"{'sugars_100g': 8.277900319562884, 'carbohydrates_100g': 37.95429359601292, 'salt_100g': 1.2378332218040153, 'fat_100g': 24.29219702516702, 'saturated_fat_100g': 4.575080211951051, 'fiber_100g': 8.566557692967207, 'proteins_100g': 24.05390048098649, 'energy_kcal_100g': 140.56402204243386}",1,60,medium
diabetes,cornflakes,"{'sugars_100g': 15.315300376812203, 'carbohydrates_100g': 50.84362011513215, 'salt_100g': 0.8238127970216551, 'fat_100g': 28.16114555061936, 'saturated_fat_100g': 8.995218555041815, 'fiber_100g': 6.10986634270083, 'proteins_100g': 24.69059940922693, 'energy_kcal_100g': 120.4356700078248}",1,60,medium
diabetes,breakfast cereals (low-fiber),"{'sugars_100g': 6.8166911021037535, 'carbohydrates_100g': 46.308806737453054, 'salt_100g': 0.8937731901457835, 'fat_100g': 11.124555621167673, 'saturated_fat_100g': 4.450589451498548, 'fiber_100g': 6.0752346065901115, 'proteins_100g': 19.748171376932877, 'energy_kcal_100g': 117.69876055836077}",1,60,medium
diabetes,instant rice,"{'sugars_100g': 19.03056983886707, 'carbohydrates_100g': 35.92660895035661, 'salt_100g': 0.8917093432913563, 'fat_100g': 24.831640069678407, 'saturated_fat_100g': 2.006815282428762, 'fiber_100g': 0.6336308321758688, 'proteins_100g': 22.381418022050926, 'energy_kcal_100g': 319.6597744694527}",1,60,medium
diabetes,panko breadcrumbs,"{'sugars_100g': 3.3543191634298153, 'carbohydrates_100g': 46.260302518466695, 'salt_100g': 0.8069167236383157, 'fat_100g': 29.334515834824916, 'saturated_fat_100g': 1.287654977966306, 'fiber_100g': 1.4422511373224711, 'proteins_100g': 15.109854751004976, 'energy_kcal_100g': 122.54325699759107}",1,60,medium
diabetes,artificial sweeteners,"{'sugars_100g': 0.5306438630210031, 'carbohydrates_100g': 33.42352068464075, 'salt_100g': 0.49954989364246627, 'fat_100g': 2.609548970788127, 'saturated_fat_100g': 0.9800889239001365, 'fiber_100g': 8.324195301870471, 'proteins_100g': 21.845452819723825, 'energy_kcal_100g': 254.8090558037908}",1,40,low
diabetes,sugar alcohols,"{'sugars_100g': 63.20117166326831, 'carbohydrates_100g': 80.64956834321158, 'salt_100g': 0.6659923663843181, 'fat_100g': 3.56636789819554, 'saturated_fat_100g': 0.42349246841847754, 'fiber_100g': 1.6856338002753652, 'proteins_100g': 1.1519232102557053, 'energy_kcal_100g': 433.8865834141035}",1,40,low
diabetes,aspartame,"{'sugars_100g': 17.73587826479995, 'carbohydrates_100g': 49.19038177139701, 'salt_100g': 1.8984140759008663, 'fat_100g': 19.692702086727138, 'saturated_fat_100g': 6.8009656614300384, 'fiber_100g': 4.8412753345756325, 'proteins_100g': 28.45025142229007, 'energy_kcal_100g': 140.22503326334981}",1,40,low
diabetes,saccharin,"{'sugars_100g': 18.038120438118238, 'carbohydrates_100g': 31.643164795228216, 'salt_100g': 0.5520838385045665, 'fat_100g': 25.26221895777731, 'saturated_fat_100g': 4.841637189865274, 'fiber_100g': 4.716610285796495, 'proteins_100g': 27.44967880033081, 'energy_kcal_100g': 204.6000653577041}",1,40,low
diabetes,sucralose,"{'sugars_100g': 1.2925480032147907, 'carbohydrates_100g': 34.73374247009796, 'salt_100g': 0.651416556531911, 'fat_100g': 28.242458398433847, 'saturated_fat_100g': 3.69838619817372, 'fiber_100g': 4.8490896591102555, 'proteins_100g': 1.776221078024215, 'energy_kcal_100g': 287.9145717700228}",1,40,low
diabetes,acesulfame potassium,"{'sugars_100g': 16.95395547539604, 'carbohydrates_100g': 54.662792469284305, 'salt_100g': 1.1182798999102845, 'fat_100g': 16.007532744466882, 'saturated_fat_100g': 8.804538276006227, 'fiber_100g': 0.7026989949522633, 'proteins_100g': 18.586205795470896, 'energy_kcal_100g': 228.1227217075552}",1,40,low
diabetes,stevia leaf extract,"{'sugars_100g': 7.16529002481394, 'carbohydrates_100g': 11.919140819930654, 'salt_100g': 1.0194567751700352, 'fat_100g': 8.75217798327746, 'saturated_fat_100g': 2.0231663713241543, 'fiber_100g': 1.473281501804714, 'proteins_100g': 13.819839654571172, 'energy_kcal_100g': 242.83128784718747}",1,40,low
diabetes,monk fruit extract,"{'sugars_100g': 6.130865062874751, 'carbohydrates_100g': 23.507833795875545, 'salt_100g': 1.3212081137425857, 'fat_100g': 25.052189933963138, 'saturated_fat_100g': 2.4200936355862956, 'fiber_100g': 2.954292196058108, 'proteins_100g': 17.774707202145855, 'energy_kcal_100g': 225.52709538638123}",1,40,low
diabetes,neotame,"{'sugars_100g': 16.95117100913478, 'carbohydrates_100g': 10.551067801167381, 'salt_100g': 1.8364054471790203, 'fat_100g': 26.03909524275204, 'saturated_fat_100g': 3.1196779515004414, 'fiber_100g': 3.1748330703631487, 'proteins_100g': 9.88183426933955, 'energy_kcal_100g': 298.56429718493166}",1,40,low
diabetes,advantame,"{'sugars_100g': 4.9318172543020244, 'carbohydrates_100g': 28.252186761191297, 'salt_100g': 1.4141233116346374, 'fat_100g': 16.962330848510483, 'saturated_fat_100g': 8.349971790631812, 'fiber_100g': 4.738366749090551, 'proteins_100g': 9.923169271667456, 'energy_kcal_100g': 278.52250969538454}",1,40,low
diabetes,xylitol,"{'sugars_100g': 11.24721260602503, 'carbohydrates_100g': 17.82708149960407, 'salt_100g': 0.9902976294096544, 'fat_100g': 20.678358007541167, 'saturated_fat_100g': 8.033777249543803, 'fiber_100g': 2.8308953620907182, 'proteins_100g': 0.5047439284434252, 'energy_kcal_100g': 219.97529185848958}",1,40,low
diabetes,erythritol,"{'sugars_100g': 6.737171822883141, 'carbohydrates_100g': 52.07571926191208, 'salt_100g': 0.9553443678995617, 'fat_100g': 19.10162146854911, 'saturated_fat_100g': 5.776007291324364, 'fiber_100g': 4.4487929578334064, 'proteins_100g': 19.663164682823012, 'energy_kcal_100g': 252.19798664535767}",1,40,low
diabetes,mannitol,"{'sugars_100g': 6.3568079653452125, 'carbohydrates_100g': 38.477930322151465, 'salt_100g': 0.984169813060507, 'fat_100g': 18.840834700534085, 'saturated_fat_100g': 7.082079663742117, 'fiber_100g': 7.623421500725761, 'proteins_100g': 19.409959686993048, 'energy_kcal_100g': 219.7559092907552}",1,40,low
diabetes,sorbitol,"{'sugars_100g': 18.549057647661982, 'carbohydrates_100g': 20.12115778539888, 'salt_100g': 1.6410821997241456, 'fat_100g': 7.55176398797545, 'saturated_fat_100g': 1.277588086887761, 'fiber_100g': 3.47244938067631, 'proteins_100g': 11.801769062849257, 'energy_kcal_100g': 173.22837968669037}",1,40,low
diabetes,isomalt,"{'sugars_100g': 15.010369619684184, 'carbohydrates_100g': 19.467921983820226, 'salt_100g': 0.5875292212634347, 'fat_100g': 26.020333979756177, 'saturated_fat_100g': 7.162997122027512, 'fiber_100g': 1.4175386700785064, 'proteins_100g': 5.145632795355222, 'energy_kcal_100g': 178.95122264983186}",1,40,low
diabetes,lactitol,"{'sugars_100g': 3.513673697330022, 'carbohydrates_100g': 49.53835659044826, 'salt_100g': 1.1113314505041505, 'fat_100g': 14.768973642302488, 'saturated_fat_100g': 4.085270933946438, 'fiber_100g': 5.153155286171724, 'proteins_100g': 8.774399917833911, 'energy_kcal_100g': 95.70908536115567}",1,40,low
diabetes,maltitol,"{'sugars_100g': 1.1627005177815941, 'carbohydrates_100g': 46.63844387759622, 'salt_100g': 1.0576873886336982, 'fat_100g': 10.50758264022743, 'saturated_fat_100g': 1.184592160893042, 'fiber_100g': 7.739598019946462, 'proteins_100g': 3.4944056399817622, 'energy_kcal_100g': 308.1886139549731}",1,40,low
diabetes,cinnamon,"{'sugars_100g': 3.6638327907849155, 'carbohydrates_100g': 29.249181426488704, 'salt_100g': 1.8109347588477511, 'fat_100g': 20.923281579991972, 'saturated_fat_100g': 7.585205065474543, 'fiber_100g': 6.223662917397564, 'proteins_100g': 3.595231190195495, 'energy_kcal_100g': 207.72622971993843}",0,10,safe
diabetes,bitter melon,"{'sugars_100g': 5.671424916911012, 'carbohydrates_100g': 20.973817433727866, 'salt_100g': 0.23561322774833693, 'fat_100g': 4.520962452243518, 'saturated_fat_100g': 0.2577424087417757, 'fiber_100g': 4.921968888445823, 'proteins_100g': 0.29301998644210236, 'energy_kcal_100g': 126.40639361320802}",0,10,safe
diabetes,fenugreek,"{'sugars_100g': 4.293051812933191, 'carbohydrates_100g': 37.71746122506339, 'salt_100g': 1.1565318490989036, 'fat_100g': 14.181784804394432, 'saturated_fat_100g': 0.7791157801714865, 'fiber_100g': 6.517138365128049, 'proteins_100g': 14.980279090366352, 'energy_kcal_100g': 391.07763042575493}",0,10,safe
diabetes,fiber,"{'sugars_100g': 4.5073487014765785, 'carbohydrates_100g': 46.635934022019114, 'salt_100g': 0.788111509994228, 'fat_100g': 9.841718007034663, 'saturated_fat_100g': 6.94259027035124, 'fiber_100g': 4.512979736524246, 'proteins_100g': 28.50402155327123, 'energy_kcal_100g': 201.74945721748708}",0,10,safe
diabetes,chromium,"{'sugars_100g': 8.869723191366273, 'carbohydrates_100g': 38.81886635506643, 'salt_100g': 0.7195015869173416, 'fat_100g': 26.691827285465543, 'saturated_fat_100g': 2.3488411386868413, 'fiber_100g': 1.4910773555031254, 'proteins_100g': 10.700488787993606, 'energy_kcal_100g': 99.44093974162809}",0,10,safe
diabetes,green leafy vegetables,"{'sugars_100g': 9.742941669973714, 'carbohydrates_100g': 32.75497899215435, 'salt_100g': 0.6382671387033338, 'fat_100g': 2.0665338309459234, 'saturated_fat_100g': 8.049986258897876, 'fiber_100g': 6.706835673965143, 'proteins_100g': 23.86600725424751, 'energy_kcal_100g': 137.50647357169856}",0,10,safe
diabetes,chia seeds,"{'sugars_100g': 13.769649219946722, 'carbohydrates_100g': 35.07000093507733, 'salt_100g': 1.4094193720794075, 'fat_100g': 15.993405295446767, 'saturated_fat_100g': 5.111839629353589, 'fiber_100g': 1.9076667311514783, 'proteins_100g': 23.146006304709825, 'energy_kcal_100g': 186.7962478818609}",0,10,safe
diabetes,flaxseed,"{'sugars_100g': 19.050924684583592, 'carbohydrates_100g': 56.821988144791916, 'salt_100g': 1.0898759900348434, 'fat_100g': 19.54628480998234, 'saturated_fat_100g': 2.2051848055363044, 'fiber_100g': 7.054841782300785, 'proteins_100g': 9.595938898189424, 'energy_kcal_100g': 89.58513006342787}",0,10,safe
diabetes,apple cider vinegar,"{'sugars_100g': 1.3849734282732529, 'carbohydrates_100g': 22.771763321387148, 'salt_100g': 0.6065685680101929, 'fat_100g': 23.119146428134037, 'saturated_fat_100g': 5.898440748714183, 'fiber_100g': 5.821467527454213, 'proteins_100g': 27.33947164139493, 'energy_kcal_100g': 120.78732537014989}",0,10,safe
diabetes,turmeric (curcumin),"{'sugars_100g': 9.394521079255181, 'carbohydrates_100g': 51.259275941186715, 'salt_100g': 1.9271911637632075, 'fat_100g': 23.408453865665436, 'saturated_fat_100g': 0.08987085025694785, 'fiber_100g': 7.839772735672294, 'proteins_100g': 9.93948573257089, 'energy_kcal_100g': 247.29412573192093}",0,10,safe
diabetes,ginger,"{'sugars_100g': 2.3717390371110136, 'carbohydrates_100g': 28.747726095149996, 'salt_100g': 0.7066017632633859, 'fat_100g': 24.625475457674096, 'saturated_fat_100g': 9.96108562126994, 'fiber_100g': 9.25578773881615, 'proteins_100g': 11.051066465692022, 'energy_kcal_100g': 267.9678138544599}",0,10,safe
diabetes,psyllium husk,"{'sugars_100g': 6.902200223009983, 'carbohydrates_100g': 53.11409501672879, 'salt_100g': 0.3761467806516856, 'fat_100g': 10.549381514027171, 'saturated_fat_100g': 5.98488597722541, 'fiber_100g': 7.012434247251847, 'proteins_100g': 16.107234251558946, 'energy_kcal_100g': 341.4536878342227}",0,10,safe
diabetes,resistant starch,"{'sugars_100g': 2.2518053163877716, 'carbohydrates_100g': 26.250559558203605, 'salt_100g': 0.5808675468818496, 'fat_100g': 24.95712940539324, 'saturated_fat_100g': 9.610709367084837, 'fiber_100g': 1.1583257199691233, 'proteins_100g': 10.091119975121192, 'energy_kcal_100g': 185.22794098654325}",0,10,safe
diabetes,"legumes (beans, lentils)","{'sugars_100g': 15.095162640078264, 'carbohydrates_100g': 25.30743572745402, 'salt_100g': 0.16404833009454522, 'fat_100g': 29.711664510190918, 'saturated_fat_100g': 2.580857170451009, 'fiber_100g': 7.721869562473827, 'proteins_100g': 20.831522337866126, 'energy_kcal_100g': 393.616684054206}",0,10,safe
